Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags,Discovery Path
SCAN,"{'id': 'SCAN:633a6ecadaf9ae3bd76b91e3c59d01e7af0fd779', 'name': 'moist_fred', 'target': {'seeds': ['digitalocean.com'], 'whitelist': ['digitalocean.com'], 'blacklist': [], 'strict_scope': False, 'hash': '0ef2c77b663c73b8a727bedd6bca05d4ad3f2e1e', 'seed_hash': '2151f2eefc1cd7ac0d49ba2d36d594fa49246208', 'whitelist_hash': '2151f2eefc1cd7ac0d49ba2d36d594fa49246208', 'blacklist_hash': 'da39a3ee5e6b4b0d3255bfef95601890afd80709', 'scope_hash': 'adceaeb97e34e63f4b258a3133974d7bec5239e9'}, 'preset': {'config': {'dns': {'threads': 25, 'brute_threads': 1000}, 'modules': {'github': {}, 'chaos': {}, 'securitytrails': {}, 'iis_shortnames': {'detect_only': False}}, 'web': {'spider_distance': 1, 'spider_depth': 4}}, 'flags': ['iis-shortnames', 'subdomain-enum', 'web-basic', 'web-paramminer'], 'modules': ['httpx'], 'output_modules': ['subdomains']}}",,TARGET,0,"in-scope,target",
DNS_NAME,digitalocean.com,"2606:4700::6813:ae44,104.19.173.68,104.19.174.68,2606:4700::6813:ad44",TARGET,0,"a-record,aaaa-record,cdn-cloudflare,cloud-digitalocean,domain,in-scope,mx-record,ns-record,soa-record,target,txt-record",Scan moist_fred seeded with DNS_NAME: digitalocean.com
ORG_STUB,digitalocean,,speculate,0,in-scope,Scan moist_fred seeded with DNS_NAME: digitalocean.com --> speculated ORG_STUB: digitalocean
DNS_NAME,kim.ns.cloudflare.com,"2606:4700:50::adf5:3a7e,108.162.192.126,172.64.32.126,2a06:98c1:50::ac40:207e,173.245.58.126,2803:f800:50::6ca2:c07e",SOA,1,"a-record,aaaa-record,affiliate,cdn-cloudflare,distance-1,subdomain",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> SOA record for digitalocean.com contains DNS_NAME: kim.ns.cloudflare.com
EMAIL_ADDRESS,security@digitalocean.com,"2606:4700::6813:ae44,104.19.173.68,104.19.174.68,2606:4700::6813:ad44",dnscaa,0,"caa-record,cdn-cloudflare,cloud-digitalocean,in-scope",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> dnscaa discovered EMAIL_ADDRESS: security@digitalocean.com
DNS_NAME,walt.ns.cloudflare.com,"2a06:98c1:50::ac40:2194,173.245.59.148,2606:4700:58::adf5:3b94,172.64.33.148,108.162.193.148,2803:f800:50::6ca2:c194",NS,1,"a-record,aaaa-record,affiliate,cdn-cloudflare,distance-1,subdomain",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> NS record for digitalocean.com contains DNS_NAME: walt.ns.cloudflare.com
DNS_NAME,aspmx.l.google.com,"2404:6800:4003:c00::1b,74.125.24.26",MX,1,"a-record,aaaa-record,affiliate,distance-1,subdomain",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> MX record for digitalocean.com contains DNS_NAME: aspmx.l.google.com
DNS_NAME,alt1.aspmx.l.google.com,"173.194.202.26,2607:f8b0:400e:c00::1b",MX,1,"a-record,aaaa-record,affiliate,distance-1,subdomain",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> MX record for digitalocean.com contains DNS_NAME: alt1.aspmx.l.google.com
DNS_NAME,_spf.salesforce.com,,TXT,1,"affiliate,distance-1,subdomain,txt-record",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> TXT record for digitalocean.com contains DNS_NAME: _spf.salesforce.com
DNS_NAME,alt2.aspmx.l.google.com,"142.250.141.26,2607:f8b0:4023:c0b::1b",MX,1,"a-record,aaaa-record,affiliate,distance-1,subdomain",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> MX record for digitalocean.com contains DNS_NAME: alt2.aspmx.l.google.com
DNS_NAME,aspmx2.googlemail.com,"2607:f8b0:400e:c00::1a,173.194.202.27",MX,1,"a-record,aaaa-record,affiliate,distance-1,subdomain",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> MX record for digitalocean.com contains DNS_NAME: aspmx2.googlemail.com
DNS_NAME,_spf.google.com,,TXT,1,"affiliate,distance-1,subdomain,txt-record",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> TXT record for digitalocean.com contains DNS_NAME: _spf.google.com
DNS_NAME,aspmx3.googlemail.com,"142.250.141.26,2607:f8b0:4023:c0b::1a",MX,1,"a-record,aaaa-record,affiliate,distance-1,subdomain",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> MX record for digitalocean.com contains DNS_NAME: aspmx3.googlemail.com
DNS_NAME,helpscoutemail.com,,TXT,1,"affiliate,distance-1,domain,ns-record,soa-record,txt-record",Scan moist_fred seeded with DNS_NAME: digitalocean.com --> TXT record for digitalocean.com contains DNS_NAME: helpscoutemail.com
